Company,Description,Recruiter,Interview process,Profitable,In office,Current Stage Flag,Stage 1,Stage 1 Calendar Link,Complete 1,Notes,Stage 2,Stage 2 Calendar Link,Complete 2,Notes,Stage 3,Stage 3 Link,Stage 3 Calendar Link,Complete 3,Notes,Stage 4,Stage 4 Link,Stage 4 Calendar Link,Complete 4,Notes,Stage 5,Stage 5 Link,Stage 5 Calendar Link,OFFER! ,Notes
Ramp,,John,,,,wait for the 9th ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heron AI,,Meg,,,,hear back from kelsey,spoke with kelsey hr manager,,TRUE,,engineer coding challenge,,,,,,,,,,,,,,,,,,
Cerula,,,,,,hear back from steph,,,,,,,,,,,,,,,,,,,,,,,
Figure,,Tyler,"HR screen, coding, team ",,,hear back from tyler,,,,,,,,,,,,,,,,,,,,,,,
Daylight,,Marty,no idea,,,hear back from the team,,,,,,,,,,,,,,,,,,,,,,,
Trillium,,Michael,"1 hr senior software galen chang, hr screen, 1hr with VP of eng abazeet gupte system design, onsite andy cto behavioral and remeeting other 2 and 4th person 4hr in total  ",,,schedule interview call,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overjet,Dentist AI CRM,Tahmid,,,,follow up wiht tahmid,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,
Metronome AI,,Travis,"technical coding/debugging exercise, hiring eng manager team fit, virtual onsite coding, system design, values and culture ",Yes,2-3 days,follow up with travis,Call with recruiter,https://calendar.google.com/calendar/u/0/r/eventedit/ZG41azhvbjduNjVtbHNyMWxwcHV1a2Q5djQgbWF0dHJ1c3NlbGxjQG0,TRUE,setup coding int,Codign interview,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,
EliseAI,AI Assistant for Property Management,Yennaedo,"internal recruiter, technical zoom, system, onsite",,,follow up with yennaedo,,,FALSE,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,
Numeric AI,Financial Data Automation for Accounting Teams,Yennaedo,4 stages,,,follow up with yennaedo,,,FALSE,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,
Rain.xyz,Web3 NFT Infrastructure and APIs,Brady,"intro call with senior HR or eng team, coder pad eval, system design, discussion with founders",,,follow up with brady,,,FALSE,,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,FALSE,
